,returns,portfolio_value,return_0,cum_return,close,instrument,date
2017-2-21,0.033088559,4695460.84,0.033088559,3.69546084,4695460.84,fanyifan_strategy,2017-2-21
2017-2-22,0.035923545,4864138.44,0.035923545,3.86413844,4864138.44,fanyifan_strategy,2017-2-22
2017-2-23,-0.004025101,4844559.79,-0.004025101,3.84455979,4844559.79,fanyifan_strategy,2017-2-23
2017-2-24,0.057112083,5121242.69,0.057112083,4.12124269,5121242.69,fanyifan_strategy,2017-2-24
2017-2-27,-0.009200472,5074124.84,-0.009200472,4.07412484,5074124.84,fanyifan_strategy,2017-2-27
2017-2-28,0.013992462,5145124.34,0.013992462,4.14512434,5145124.34,fanyifan_strategy,2017-2-28
2017-3-1,-0.00551975,5116724.54,-0.00551975,4.11672454,5116724.54,fanyifan_strategy,2017-3-1
2017-3-2,0.038432223,5313371.64,0.038432223,4.31337164,5313371.64,fanyifan_strategy,2017-3-2
2017-3-3,0.018423942,5411264.89,0.018423942,4.41126489,5411264.89,fanyifan_strategy,2017-3-3
2017-3-6,0.016619534,5501197.59,0.016619534,4.50119759,5501197.59,fanyifan_strategy,2017-3-6
2017-3-7,0.000625755,5504639.99,0.000625755,4.50463999,5504639.99,fanyifan_strategy,2017-3-7
2017-3-8,-0.036661925,5302829.29,-0.036661925,4.30282929,5302829.29,fanyifan_strategy,2017-3-8
2017-3-9,-0.06735065,4945680.29,-0.06735065,3.94568029,4945680.29,fanyifan_strategy,2017-3-9
2017-3-10,0.03567214,5122103.29,0.03567214,4.12210329,5122103.29,fanyifan_strategy,2017-3-10
2017-3-13,0.028646884,5268835.59,0.028646884,4.26883559,5268835.59,fanyifan_strategy,2017-3-13
2017-3-14,0,5268835.59,0,4.26883559,5268835.59,fanyifan_strategy,2017-3-14
2017-3-15,0,5268835.59,0,4.26883559,5268835.59,fanyifan_strategy,2017-3-15
2017-3-16,0,5268835.59,0,4.26883559,5268835.59,fanyifan_strategy,2017-3-16
2017-3-17,0,5268835.59,0,4.26883559,5268835.59,fanyifan_strategy,2017-3-17
2017-3-20,-0.14831072,4487410.79,-0.14831072,3.48741079,4487410.79,fanyifan_strategy,2017-3-20
2017-3-21,0.070671288,4804541.89,0.070671288,3.80454189,4804541.89,fanyifan_strategy,2017-3-21
2017-3-22,-0.077962927,4429965.74,-0.077962927,3.42996574,4429965.74,fanyifan_strategy,2017-3-22
2017-3-23,-0.003933924,4412538.59,-0.003933924,3.41253859,4412538.59,fanyifan_strategy,2017-3-23
2017-3-24,-0.086015364,4032992.475,-0.086015364,3.032992475,4032992.475,fanyifan_strategy,2017-3-24
2017-3-27,0.105099877,4456859.49,0.105099877,3.45685949,4456859.49,fanyifan_strategy,2017-3-27
2017-3-28,0.006468703,4485689.59,0.006468703,3.48568959,4485689.59,fanyifan_strategy,2017-3-28
2017-3-29,-0.004652473,4464820.04,-0.004652473,3.46482004,4464820.04,fanyifan_strategy,2017-3-29
2017-3-30,-0.004577844,4444380.79,-0.004577844,3.44438079,4444380.79,fanyifan_strategy,2017-3-30
2017-3-31,0.046666703,4651785.39,0.046666703,3.65178539,4651785.39,fanyifan_strategy,2017-3-31
2017-4-5,0.042088464,4847571.89,0.042088464,3.84757189,4847571.89,fanyifan_strategy,2017-4-5
2017-4-6,0.064266649,5159109.09,0.064266649,4.15910909,5159109.09,fanyifan_strategy,2017-4-6
2017-4-7,-0.00667247,5124685.09,-0.00667247,4.12468509,5124685.09,fanyifan_strategy,2017-4-7
2017-4-10,0.022670856,5240866.09,0.022670856,4.24086609,5240866.09,fanyifan_strategy,2017-4-10
2017-4-11,0.01711884,5330583.64,0.01711884,4.33058364,5330583.64,fanyifan_strategy,2017-4-11
2017-4-12,-0.01069578,5273568.89,-0.01069578,4.27356889,5273568.89,fanyifan_strategy,2017-4-12
2017-4-13,-0.029782393,5116509.39,-0.029782393,4.11650939,5116509.39,fanyifan_strategy,2017-4-13
2017-4-14,0.015937008,5198051.24,0.015937008,4.19805124,5198051.24,fanyifan_strategy,2017-4-14
2017-4-17,0.025372384,5329938.19,0.025372384,4.32993819,5329938.19,fanyifan_strategy,2017-4-17
2017-4-18,0.022201477,5448270.69,0.022201477,4.44827069,5448270.69,fanyifan_strategy,2017-4-18
